,W/L,Fighter1,Fighter2,F1_Kd,F2_Kd,F1_Str,F2_Str,F1_Td,F2_Td,F1_Sub,F2_Sub,Weight class,Method,Round,Time
1493,win,Ovince Saint Preux,Tyson Pedro,0,1,7,9,0,0,1,1,Light Heavyweight,SUB,1,2:54
1494,win,Jessica Eye,Jessica-Rose Clark,0,0,67,51,1,0,0,0,Women's Flyweight,U-DEC,3,5:00
1495,win,Li Jingliang,Daichi Abe,0,0,96,45,0,0,0,0,Welterweight,U-DEC,3,5:00
1496,win,Petr Yan,Teruto Ishihara,2,0,25,11,0,0,0,0,Bantamweight,KO/TKO,1,3:28
1497,win,Song Yadong,Felipe Arantes,1,0,39,8,1,0,1,0,Bantamweight,KO/TKO,2,4:59
1498,win,Shane Young,Rolando Dy,0,0,104,57,1,0,0,0,Featherweight,KO/TKO,2,4:40
1499,win,Song Kenan,Hector Aldana,1,0,32,39,0,2,0,0,Welterweight,KO/TKO,2,4:45
1500,win,Jake Matthews,Shinsho Anzai,0,0,12,1,1,0,1,0,Welterweight,SUB,1,2:44
1501,win,Yan Xiaonan,Viviane Pereira,0,0,71,44,0,0,0,0,Women's Strawweight,U-DEC,3,5:00
1502,win,Matt Schnell,Naoki Inoue,0,0,71,48,0,0,0,0,Flyweight,S-DEC,3,5:00
1503,win,Yuta Sasaki,Jenel Lausa,0,0,25,7,5,0,1,0,Flyweight,SUB,2,4:04
1504,win,Ji Yeon Kim,Melinda Fabian,0,0,73,72,0,0,0,0,Women's Flyweight,S-DEC,3,5:00
1505,win,Robert Whittaker,Yoel Romero,0,2,128,111,0,3,0,0,Middleweight,S-DEC,5,5:00
1506,win,Colby Covington,Rafael Dos Anjos,0,0,99,105,7,3,0,0,Welterweight,U-DEC,5,5:00
1507,win,Holly Holm,Megan Anderson,0,0,47,26,4,0,1,0,Women's Featherweight,U-DEC,3,5:00
1508,win,Tai Tuivasa,Andrei Arlovski,1,0,54,51,0,0,0,0,Heavyweight,U-DEC,3,5:00
1509,nc,CM Punk,Mike Jackson,0,0,19,64,1,1,0,0,Welterweight,Overturned,3,5:00
1510,win,Curtis Blaydes,Alistair Overeem,0,0,37,7,4,0,0,2,Heavyweight,KO/TKO,3,2:56
1511,win,Claudia Gadelha,Carla Esparza,0,0,26,43,4,2,1,0,Women's Strawweight,S-DEC,3,5:00
1512,win,Mirsad Bektic,Ricardo Lamas,0,0,31,34,2,0,0,2,Featherweight,S-DEC,3,5:00
1513,win,Chris de la Rocha,Rashad Coulter,0,0,40,30,3,0,2,0,Heavyweight,KO/TKO,2,3:53
1514,win,Anthony Smith,Rashad Evans,1,0,6,1,0,0,0,0,Light Heavyweight,KO/TKO,1,0:53
1515,win,Sergio Pettis,Joseph Benavidez,0,0,74,59,0,2,0,0,Flyweight,S-DEC,3,5:00
1516,win,Charles Oliveira,Clay Guida,0,0,14,9,0,0,1,0,Lightweight,SUB,1,2:18
1517,win,Dan Ige,Mike Santiago,0,0,25,0,1,0,0,0,Featherweight,KO/TKO,1,0:50
1518,win,Marlon Moraes,Jimmie Rivera,1,0,7,0,0,0,0,0,Bantamweight,KO/TKO,1,0:33
1519,win,Gregor Gillespie,Vinc Pichel,0,0,13,7,7,0,2,0,Lightweight,SUB,2,4:06
1520,win,Walt Harris,Daniel Spitz,1,0,29,17,0,0,0,0,Heavyweight,KO/TKO,2,4:59
1521,win,Ben Saunders,Jake Ellenberger,1,0,10,5,0,0,0,0,Welterweight,KO/TKO,1,1:56
1522,win,Julio Arce,Daniel Teymur,0,0,63,37,0,0,1,0,Featherweight,SUB,3,2:55
1523,win,Sam Alvey,Gian Villante,1,0,53,50,0,0,0,0,Light Heavyweight,S-DEC,3,5:00
1524,win,Sijara Eubanks,Lauren Murphy,0,0,75,49,2,0,0,0,Women's Flyweight,U-DEC,3,5:00
1525,win,David Teymur,Nik Lentz,0,0,67,61,0,0,0,0,Lightweight,U-DEC,3,5:00
1526,win,Belal Muhammad,Chance Rencountre,0,0,70,16,3,0,1,0,Welterweight,U-DEC,3,5:00
1527,win,Desmond Green,Gleison Tibau,0,0,77,28,0,0,0,0,Lightweight,U-DEC,3,5:00
1528,win,Nathaniel Wood,Johnny Eduardo,0,0,33,37,0,0,1,0,Bantamweight,SUB,2,2:18
1529,win,Jose Torres,Jarred Brooks,0,0,22,31,1,2,0,0,Flyweight,KO/TKO,2,2:55
1530,win,Darren Till,Stephen Thompson,1,0,38,30,0,0,0,0,Welterweight,U-DEC,5,5:00
1531,win,Neil Magny,Craig White,1,0,18,6,0,0,0,0,Welterweight,KO/TKO,1,4:32
1532,win,Arnold Allen,Mads Burnell,0,0,29,20,0,6,1,0,Featherweight,SUB,3,2:41
1533,win,Makwan Amirkhani,Jason Knight,0,2,27,29,3,0,0,1,Featherweight,S-DEC,3,5:00
1534,win,Claudio Silva,Nordine Taleb,0,0,18,6,1,1,1,0,Welterweight,SUB,1,4:31
1535,win,Darren Stewart,Eric Spicely,1,0,34,15,0,0,0,0,Middleweight,KO/TKO,2,1:47
1536,win,Tom Breese,Daniel Kelly,1,0,23,6,0,0,0,0,Middleweight,KO/TKO,1,3:33
1537,win,Lina Lansberg,Gina Mazany,0,0,40,38,1,2,0,0,Women's Bantamweight,U-DEC,3,5:00
1538,win,Carlo Pedersoli Jr.,Brad Scott,0,1,67,58,3,0,0,0,Welterweight,S-DEC,3,5:00
1539,win,Gillian Robertson,Molly McCann,0,0,17,10,2,0,1,0,Women's Flyweight,SUB,2,2:05
1540,win,Elias Theodorou,Trevor Smith,0,0,77,41,0,3,0,0,Middleweight,U-DEC,3,5:00
1541,win,Kamaru Usman,Demian Maia,1,0,66,27,0,0,0,0,Welterweight,U-DEC,5,5:00
1542,win,Tatiana Suarez,Alexa Grasso,0,0,2,6,2,0,1,0,Women's Strawweight,SUB,1,2:44
1543,win,Dominick Reyes,Jared Cannonier,1,0,20,6,0,0,0,0,Light Heavyweight,KO/TKO,1,2:55
1544,win,Guido Cannetti,Diego Rivas,0,0,25,22,1,2,1,1,Bantamweight,U-DEC,3,5:00
1545,win,Andrea Lee,Veronica Macedo,0,0,56,24,3,1,2,1,Women's Flyweight,U-DEC,3,5:00
1546,win,Vicente Luque,Chad Laprise,1,0,14,13,0,0,0,0,Welterweight,KO/TKO,1,4:16
1547,win,Michel Prazeres,Zak Cummings,0,0,30,28,3,0,0,0,Welterweight,S-DEC,3,5:00
1548,win,Alexandre Pantoja,Brandon Moreno,0,0,79,45,0,2,0,0,Flyweight,U-DEC,3,5:00
1549,win,Poliana Botelho,Syuri Kondo,1,0,9,2,0,0,0,0,Women's Strawweight,KO/TKO,1,0:33
1550,win,Gabriel Benitez,Humberto Bandenay,1,0,9,2,1,0,0,1,Featherweight,KO/TKO,1,0:39
1551,win,Enrique Barzola,Brandon Davis,0,0,51,29,10,0,1,0,Featherweight,U-DEC,3,5:00
1552,win,Frankie Saenz,Henry Briones,1,0,66,44,4,0,0,1,Bantamweight,U-DEC,3,5:00
1553,win,Claudio Puelles,Felipe Silva,0,1,16,70,2,1,1,0,Lightweight,SUB,3,2:23
1554,win,Amanda Nunes,Raquel Pennington,0,0,124,64,3,1,0,0,Women's Bantamweight,KO/TKO,5,2:36
1555,win,Kelvin Gastelum,Jacare Souza,1,0,53,64,0,1,0,1,Middleweight,S-DEC,3,5:00
1556,win,Mackenzie Dern,Amanda Cooper,1,0,15,6,0,0,1,0,Women's Strawweight,SUB,1,2:27
1557,win,John Lineker,Brian Kelleher,2,0,102,50,0,1,1,0,Bantamweight,KO/TKO,3,3:43
