,Weight class,Round,f1_Height_cm,f1_Wins,f1_Losses,f1_Reach,f1_DOB,f1_SLpM,f1_Str. Acc.,f1_SApM,f1_Str. Def,f1_TD Avg.,f1_TD Acc.,f1_TD Def.,f1_Sub. Avg.,f2_Height_cm,f2_Wins,f2_Losses,f2_Reach,f2_DOB,f2_SLpM,f2_Str. Acc.,f2_SApM,f2_Str. Def,f2_TD Avg.,f2_TD Acc.,f2_TD Def.,f2_Sub. Avg.,Method_DEC,Method_KO/TKO,Method_SUB,f1_STANCE_Orthodox,f1_STANCE_Southpaw,f1_STANCE_Switch,f1_STANCE_unk,f2_STANCE_Orthodox,f2_STANCE_Southpaw,f2_STANCE_Switch,f2_STANCE_unk,winner
1170,7.0,3.0,172.72,24.0,4.0,73.0,1986.0,1.98,34.0,2.16,65.0,3.95,41.0,61.0,0.1,154.94,23.0,13.0,75.0,1984.0,2.47,42.0,1.59,64.0,1.54,37.0,62.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1171,7.0,3.0,154.94,23.0,8.0,73.0,1989.0,3.7,46.0,2.51,69.0,1.62,50.0,75.0,0.0,175.26,27.0,6.0,73.0,1988.0,2.98,39.0,3.03,64.0,1.34,63.0,88.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1172,10.0,1.0,190.5,14.0,5.0,74.0,1988.0,5.4,47.0,3.71,58.0,0.0,0.0,0.0,0.0,190.5,15.0,1.0,75.0,1992.0,3.41,53.0,1.78,65.0,1.18,33.0,85.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1173,8.0,3.0,182.88,12.0,4.0,75.0,1992.0,1.83,50.0,2.83,64.0,2.0,33.0,25.0,0.5,154.94,20.0,4.0,76.0,1987.0,2.5,45.0,1.98,66.0,2.33,29.0,66.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1174,8.0,2.0,182.88,18.0,3.0,74.0,1992.0,2.27,46.0,2.99,58.0,0.54,41.0,82.0,0.0,175.26,19.0,7.0,74.0,1982.0,2.36,48.0,2.76,54.0,1.06,40.0,87.0,0.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1175,0.0,1.0,154.94,21.0,9.0,62.0,1991.0,6.15,50.0,5.2,52.0,2.97,55.0,66.0,0.4,160.02,12.0,6.0,64.0,1985.0,5.27,39.0,5.65,56.0,0.1,12.0,75.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1176,6.0,2.0,154.94,10.0,8.0,72.0,1990.0,4.65,35.0,4.33,60.0,0.71,45.0,56.0,0.1,185.42,18.0,1.0,73.0,1991.0,4.89,48.0,3.0,64.0,5.22,56.0,77.0,0.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1177,5.0,3.0,160.02,22.0,12.0,66.0,1984.0,3.2,40.0,3.58,61.0,0.71,28.0,82.0,0.0,162.56,23.0,5.0,68.0,1989.0,4.03,40.0,3.9,60.0,0.88,27.0,92.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1178,8.0,1.0,154.94,10.0,4.0,73.0,1985.0,3.71,47.0,4.24,53.0,0.53,28.0,55.0,0.0,182.88,14.0,4.0,76.0,1989.0,5.33,41.0,5.83,49.0,0.89,22.0,72.0,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1179,5.0,2.0,167.64,19.0,4.0,64.0,1989.0,4.03,46.0,3.36,63.0,2.8,44.0,75.0,0.0,170.18,20.0,3.0,71.0,1989.0,4.84,49.0,2.2,63.0,1.77,24.0,41.0,0.9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1180,8.0,2.0,154.94,22.0,9.0,73.0,1989.0,6.67,46.0,7.31,52.0,1.17,45.0,72.0,0.0,154.94,13.0,4.0,75.0,1990.0,4.42,48.0,4.68,62.0,0.6,50.0,87.0,0.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1181,9.0,2.0,182.88,12.0,7.0,74.0,1990.0,2.98,45.0,3.07,49.0,1.56,41.0,67.0,0.1,154.94,10.0,7.0,73.0,1983.0,3.43,55.0,2.63,55.0,2.5,50.0,40.0,1.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1182,8.0,3.0,187.96,14.0,9.0,76.0,1990.0,1.23,40.0,3.28,39.0,0.0,0.0,50.0,0.8,154.94,31.0,13.0,72.0,1981.0,2.69,37.0,3.02,56.0,1.51,24.0,46.0,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1183,7.0,1.0,172.72,32.0,16.0,71.0,1983.0,2.65,40.0,2.92,59.0,1.63,43.0,47.0,1.8,182.88,13.0,6.0,71.0,1988.0,3.76,42.0,3.07,60.0,0.92,28.0,71.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1184,2.0,3.0,175.26,12.0,6.0,68.0,1988.0,5.52,38.0,5.97,61.0,0.23,50.0,84.0,0.1,172.72,8.0,6.0,67.0,1994.0,4.15,36.0,4.09,52.0,0.16,12.0,61.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1185,4.0,3.0,160.02,13.0,2.0,62.0,1993.0,2.12,46.0,1.66,62.0,4.54,57.0,69.0,0.6,167.64,8.0,2.0,66.0,1986.0,0.96,40.0,1.78,46.0,3.61,62.0,50.0,0.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
